id,id_artist,num_samples,sr,duration_ms,bpm,centroid_mean,centroid_std,rolloff_mean,rolloff_std,flux_mean,flux_std,rms_mean,rms_std,zcr_mean,zcr_std,flatness_mean,flatness_std,spectral_complexity_mean,spectral_complexity_std,pitch_mean,pitch_std,loudness_mean,loudness_std,silence_start_sec,silence_end_sec,silence_middle_total_sec,silence_middle_count,silence_middle_mean_sec,is_silent
TR300734,ART07024718,3484673,22050,158035.05668934243,161.4990234375,2910.354742202682,1062.3235771947866,6713.558929026416,1742.95744249566,1.6004808,1.4323952,0.28244722,0.08908441,0.11605004212116204,0.09050082753220065,0.037270825,0.05236443,3020.844132604928,442.06314831385185,137.1342040848861,85.4355456972599,-6.6208115,4.601858,0.05,0.49,0.26,4,0.06,False
TR368909,ART25707984,4881870,22050,221400.0,117.45383522727273,2248.994937173217,827.1375723135684,4956.951263539755,1782.0186075347629,1.6305679,1.6724485,0.19558068,0.11637053,0.10376393918786052,0.05991204070003295,0.027904866,0.04552349,2461.260071357235,481.58256173333854,127.97116925984866,92.9213192164347,-11.149039,6.6364207,0.12,0.39,23.36,60,0.39,False
TR503521,ART25707984,5990145,22050,271661.90476190473,117.45383522727273,1850.4289110804962,991.4592240824707,4101.350060096154,2212.119870967772,1.515795,1.6758335,0.22129662,0.061621886,0.06047743055555556,0.043741329983399836,0.015880464,0.0653469,2161.250645736662,797.8993772830481,86.16693379354969,61.73592501919744,-7.4013343,7.3390856,0.19,6.05,1.02,2,0.51,False
TR539870,ART25707984,5115905,22050,232013.8321995465,123.046875,3483.0651903876974,805.8243469967204,6887.793555097944,1120.9875920424374,1.5916893,1.55892,0.28407583,0.08457961,0.17673782780759031,0.08089026327839778,0.073480815,0.06707805,2869.5503932507213,331.3316535895142,151.98204899755092,100.55643809449667,-6.026359,6.008211,0.0,3.76,0.49,8,0.06,False
TR955916,ART25707984,4454401,22050,202013.65079365077,99.38401442307692,3019.323491843315,826.0304281250159,6307.329109418996,1319.7623660946497,1.4981861,1.6211376,0.29144806,0.09403303,0.13959596732774968,0.07436804173091409,0.044156715,0.04393304,2782.8787521371387,380.3992821662112,118.7484526377819,82.28549728325314,-6.5028534,3.7522388,0.05,0.21,0.72,5,0.14,False
TR636326,ART07024718,3770881,22050,171015.0113378685,92.28515625,2214.8938714180476,1026.1911928099948,4831.222311284534,2249.447063720992,1.8838333,2.2827692,0.2059356,0.08268785,0.07750937850003393,0.06638294208646968,0.019090185,0.04183403,2562.1098786570565,588.44438567734,84.40049802846855,54.21380211885589,-8.335086,8.275121,1.49,1.21,1.39,10,0.14,False
TR403288,ART25707984,7298574,22050,331001.08843537414,103.359375,2405.1452822158635,733.6113371243551,5324.742280594026,1685.5672725099548,1.5029901,1.4735144,0.27662387,0.10260082,0.0882976630453844,0.05491342422865452,0.024051024,0.031222543,2543.106864061774,537.0471725543117,125.23919323273975,112.43934836446039,-6.868307,6.9288173,0.12,3.37,15.63,49,0.32,False
TR403785,ART07024718,1056257,22050,47902.811791383225,95.703125,2526.1021938828953,1116.2693859983463,5613.5464335596835,2144.190880760143,2.082979,2.2136993,0.24720427,0.09736896,0.08731836126756298,0.07511374821870659,0.030166127,0.04716925,2748.779172734357,506.0759448770388,93.15390374657386,51.71709505951371,-8.325793,6.445284,0.0,0.3,1.44,6,0.24,False
TR480259,ART07024718,3581953,22050,162446.84807256234,129.19921875,2742.506649485091,1035.8601309005862,5995.332147789901,2013.847010194742,1.5895464,1.9179398,0.33961743,0.16795735,0.12358665711644276,0.090385156834673,0.05344524,0.06605157,2734.3572502922825,573.2141222332203,113.28023474842868,84.07506903772693,-8.660101,7.872125,0.0,1.3,5.22,33,0.16,False
TR609770,ART25707984,5765928,22050,261493.33333333334,86.1328125,2316.5161375072685,975.7279149401385,5157.662945982618,2054.1146198366628,1.5734844,2.110109,0.23500203,0.12120602,0.07978247681639584,0.056579166699661794,0.02128618,0.051247634,2499.6126375378253,625.274542290864,92.15952149314961,48.53022293208353,-10.07002,7.1732507,0.02,3.96,8.73,25,0.35,False
TR224256,ART25707984,5834753,22050,264614.6485260771,92.28515625,2281.1324919782246,1383.3421940784867,4900.590114688898,2776.176050672419,1.7804005,2.440853,0.1962538,0.15358482,0.09259109784921471,0.09426364349902287,0.023001311,0.046680905,2405.117628276076,887.9818535970752,139.41887719374276,91.65703970405373,-13.329718,11.527914,0.19,7.15,35.25,177,0.2,False
TR961564,ART25707984,3996120,22050,181229.9319727891,172.265625,2677.8047226055382,1153.3217712420792,5949.141216192545,2125.1420807085856,2.0763347,2.8206596,0.34897125,0.14057301,0.08922747087203715,0.07220868129502885,0.028452842,0.040520236,2776.710390535224,541.7673338243745,101.18535099634845,67.45245903792818,-7.4155087,8.225639,0.0,2.55,2.6,38,0.07,False
TR250056,ART25707984,4615212,22050,209306.6666666667,103.359375,2981.5035391018705,771.8016083918747,6839.101765612001,1259.8285157773646,1.5639118,1.4598773,0.20497271,0.07537842,0.12047498960066556,0.0566536845915402,0.037759427,0.030824335,3020.8574214892888,333.24534465508077,128.04347283457346,95.50660582479848,-6.5798216,3.2822576,0.21,0.03,0.28,2,0.14,False
TR803061,ART25707984,5919102,22050,268440.0,161.4990234375,3177.4025401903673,717.5709102431794,6932.264675552504,1195.3106074212164,1.4412309,1.3568419,0.23818481,0.09720437,0.14692471928790762,0.06257094286394128,0.052750032,0.044965804,2988.412755838906,307.3154360341692,112.32721532344132,85.52467751986812,-7.683416,7.9247003,0.3,3.5,0.49,8,0.06,False
TR660156,ART07024718,3947009,22050,179002.67573696148,89.10290948275862,2370.211056798768,1028.845670482607,5304.155786417801,2274.9625891195956,1.6077996,1.6271269,0.21919477,0.12474681,0.07545680579199092,0.06383833573362907,0.017244056,0.045514286,2686.33273539886,581.941396194501,113.3331825682316,108.50372113625282,-9.389591,9.342949,0.07,8.29,6.36,58,0.11,False
