id,id_artist,num_samples,sr,centroid,rolloff,flux,rms,zcr,spectral_bw
TR788528,ART07024718,1323000,22050,"[1685.97037165 1766.52429641 1890.71780139 ... 3203.05241807 1955.70406659
 1223.57734093]","[4005.17578125 4295.87402344 5437.13378906 ... 8064.18457031 5620.16601562
 2444.01855469]",[0.        0.        0.        ... 3.5505066 0.7052421 0.3220921],[0.26493317 0.3226539  0.40988675 ... 0.39543828 0.41071597 0.3608936 ],[0.01660156 0.02832031 0.03173828 ... 0.10546875 0.06152344 0.02441406],"[2460.58682116 2621.58647831 2725.92077621 ... 3504.63454557 2912.48795177
 2147.29937437]"
TR831827,ART25707984,1323000,22050,"[1939.02747896 1500.92899157 2117.53262728 ... 1747.90679742 1473.35642618
 1150.72198944]","[4855.73730469 2885.44921875 5684.765625   ... 4349.70703125 2917.74902344
 2260.98632812]",[0.         0.         0.         ... 0.89872044 0.50343895 0.6545301 ],[0.06020079 0.06864632 0.11531007 ... 0.53020775 0.57124084 0.5343989 ],[0.02929688 0.04736328 0.06884766 ... 0.03369141 0.02246094 0.01074219],"[2401.28213901 2137.30602932 2783.93231065 ... 2464.22325273 2341.68083717
 2152.91995707]"
TR273414,ART25707984,1323000,22050,"[1640.21036458 2755.54090209 2493.14363989 ... 3257.81489437 2440.38089416
 1842.00505228]","[4866.50390625 7601.22070312 7364.35546875 ... 6922.92480469 6061.59667969
 4834.20410156]",[0.         0.         0.         ... 5.266224   4.7570467  0.65785575],[0.22221434 0.26967132 0.3126337  ... 0.32138953 0.31668645 0.26844016],[0.015625   0.01806641 0.02001953 ... 0.07373047 0.06152344 0.02978516],"[2751.51865858 3526.27890406 3433.65862602 ... 3020.53128316 2821.00330972
 2559.82825528]"
TR946148,ART07024718,1323000,22050,"[ 765.06824841  568.75390201  535.87414456 ... 1855.35056628 1931.02520508
 1818.93689857]","[1399.65820312  818.26171875  829.02832031 ... 4177.44140625 4392.7734375
 3940.57617188]",[0.         0.         0.         ... 0.67610604 1.5085452  2.6544957 ],[0.08873314 0.10791702 0.12171658 ... 0.27805978 0.26300162 0.222527  ],[0.01123047 0.01464844 0.01953125 ... 0.05810547 0.05126953 0.03857422],"[1360.08913696 1021.64596743  908.61402729 ... 2464.65876487 2479.09580839
 2481.43543822]"
TR148805,ART25707984,1323000,22050,"[1143.15284459 1243.07252642 1211.25032084 ... 3389.42703341 3378.78422479
 3178.32821677]","[2465.55175781 2670.1171875  2573.21777344 ... 6384.59472656 6449.19433594
 6416.89453125]",[0.         0.         0.         ... 0.59992886 0.46292773 0.58924955],[0.0266966  0.03032589 0.03465709 ... 0.06090109 0.04900846 0.03754821],[0.02392578 0.03564453 0.04931641 ... 0.20947266 0.19775391 0.14404297],"[1705.26806539 1760.77785262 1698.49563968 ... 2534.68994962 2517.87029937
 2632.55746076]"
TR705159,ART25707984,1323000,22050,"[1827.4882361  2118.014841   2466.34362062 ... 2451.04709732 1768.195293
 1553.19056527]","[3962.109375   4920.33691406 5361.76757812 ... 5857.03125    3789.84375
 3369.94628906]",[0.        0.        0.        ... 2.30924   0.6279782 0.7303047],[0.16881719 0.193111   0.19985694 ... 0.19016579 0.19030008 0.17078793],[0.05371094 0.08447266 0.10253906 ... 0.04931641 0.02636719 0.01269531],"[2080.68217734 2196.60570885 2360.23802138 ... 2803.13151832 2118.05731497
 2125.80784137]"
TR903036,ART25707984,1323000,22050,"[2864.27555927 3141.6923594  3181.94641321 ... 2506.59215227 2573.75286096
 2733.77000426]","[6395.36132812 6793.72558594 6869.09179688 ... 5469.43359375 5415.60058594
 5803.19824219]",[0.         0.         0.         ... 0.36403415 0.9661569  0.80731404],[0.0090992  0.01169793 0.01359594 ... 0.07770352 0.07830103 0.06987154],[0.08886719 0.13330078 0.17871094 ... 0.11962891 0.10351562 0.07714844],"[2752.101441   2797.47666423 2792.1346071  ... 2701.12109536 2639.19854032
 2660.4643565 ]"
TR402241,ART25707984,1323000,22050,"[2518.02162862 2592.48855215 2339.70162    ... 2851.68969095 2894.77706474
 2889.66039258]","[6007.76367188 5932.39746094 5878.56445312 ... 5824.73144531 5943.1640625
 6029.296875  ]",[0.         0.         0.         ... 0.92580765 0.8298083  0.86564493],[0.13462262 0.17885803 0.20206699 ... 0.12796767 0.12173676 0.10994832],[0.04833984 0.05371094 0.06835938 ... 0.15332031 0.14599609 0.10546875],"[2838.28961888 2836.95610446 2890.02718215 ... 2686.39969718 2719.72555603
 2803.69068469]"
TR943904,ART07024718,1323000,22050,"[1184.94907618  976.64214819 1009.36545111 ... 3698.2565127  2343.32389107
 1664.24858583]","[2573.21777344 1884.15527344 1787.25585938 ... 8257.98339844 6104.66308594
 4112.84179688]",[0.         0.         0.         ... 0.23501335 4.9738736  6.955389  ],[0.10651441 0.13274239 0.19149335 ... 0.15366954 0.15092438 0.1484934 ],[0.0078125  0.01220703 0.02880859 ... 0.39599609 0.2265625  0.09130859],"[2116.63222289 1954.43436329 2077.357626   ... 3426.04496041 2851.77288724
 2273.8069136 ]"
TR300734,ART07024718,1323000,22050,"[3955.53928682 4048.23190172 3885.00715686 ... 3772.2200592  3461.82159322
 3782.44354645]","[8419.48242188 8257.98339844 7655.05371094 ... 7590.45410156 7235.15625
 7967.28515625]",[0.        0.        0.        ... 1.221237  3.1256714 1.1756413],[0.03956588 0.05866092 0.07186731 ... 0.257136   0.2571809  0.19715343],[0.13525391 0.18212891 0.22070312 ... 0.20117188 0.17431641 0.11816406],"[3063.38154529 3025.34629103 2913.15530201 ... 3124.5444241  3012.09808443
 3238.12236042]"
TR368909,ART25707984,1323000,22050,"[1634.29290797 2218.22707071 2608.03665321 ... 1846.99789601 1366.67646864
 1306.62248276]","[4231.27441406 5028.00292969 5770.8984375  ... 5426.3671875  3229.98046875
 2810.08300781]",[0.         0.         0.         ... 1.7894447  3.0698261  0.49918264],[0.16279176 0.19457677 0.22499037 ... 0.4119602  0.47980917 0.40184113],[0.04736328 0.06835938 0.08349609 ... 0.06933594 0.03173828 0.02197266],"[2379.68558985 2522.37801806 2719.22313752 ... 2872.64302083 2646.42206113
 2436.40789529]"
TR503521,ART25707984,1323000,22050,"[1284.43888532 1105.85580459 1331.38471367 ... 2503.42160917 2236.13502187
 1962.77217435]","[2885.44921875 2616.28417969 3219.21386719 ... 5404.83398438 5307.93457031
 5146.43554688]",[0.        0.        0.        ... 4.6418824 2.7987607 1.0507188],[0.1361175  0.15869968 0.19468819 ... 0.26669833 0.27239725 0.23084824],[0.0078125  0.01416016 0.01757812 ... 0.08886719 0.07666016 0.0546875 ],"[2068.00293897 1890.87384172 2075.20939829 ... 2635.53482843 2564.31403348
 2546.56696202]"
TR539870,ART25707984,1323000,22050,"[3346.52076723 3837.24138973 4435.52664138 ... 2730.87755396 2771.16938891
 2898.77631697]","[6890.625      7644.28710938 7741.18652344 ... 6190.79589844 6190.79589844
 6535.32714844]",[0.         0.         0.         ... 0.62984794 2.5210564  1.4406478 ],[0.22483929 0.27899492 0.3269671  ... 0.2847103  0.2968128  0.24255948],[0.07763672 0.14941406 0.22900391 ... 0.13574219 0.12402344 0.09082031],"[2963.44769088 3112.64654824 2968.26920807 ... 2767.67712298 2763.41529064
 2843.74436335]"
