id,id_artist,num_samples,sr,centroid,rolloff,flux,rms,zcr,spectral_bw
TR170292,ART07024718,1323000,22050,"[4543.6689259  4035.05046535 2819.82089889 ... 2772.5078584  2772.39992161
 2602.14526392]","[8796.31347656 8193.38378906 6621.45996094 ... 6201.5625     6233.86230469
 6040.06347656]",[0.        0.        0.        ... 0.8729905 0.7786091 0.6279496],[0.23707162 0.3052121  0.35501626 ... 0.2510791  0.25658083 0.2273577 ],[0.07910156 0.10009766 0.12304688 ... 0.10449219 0.08789062 0.06396484],"[3538.65564303 3378.05511552 2961.34861422 ... 2838.48996499 2894.27198277
 2855.26863288]"
TR307833,ART25707984,1323000,22050,"[ 905.26638088  947.37607653  990.30887679 ... 1947.70713726 2522.2006607
 2203.77732479]","[1001.29394531 1022.82714844 1076.66015625 ... 3639.11132812 4188.20800781
 4166.67480469]",[0.         0.         0.         ... 0.62478    0.23067307 2.013082  ],[0.06424134 0.07470641 0.08605164 ... 0.0354686  0.02640506 0.02355381],[0.02197266 0.03320312 0.04443359 ... 0.10742188 0.11376953 0.09863281],"[1442.84073307 1475.41801294 1501.35492195 ... 2031.87220276 2090.88805098
 2321.8208731 ]"
TR482736,ART25707984,1323000,22050,"[2802.67387421 2986.40084731 3019.859892   ... 3834.02652554 3357.06733529
 2843.15396887]","[6416.89453125 6556.86035156 6793.72558594 ... 8182.6171875  7493.5546875
 6696.82617188]",[0.        0.        0.        ... 3.1949768 5.6310782 5.8267894],[0.22744355 0.2714308  0.30364326 ... 0.25957868 0.3182857  0.29727557],[0.03369141 0.05273438 0.06445312 ... 0.21826172 0.14746094 0.07373047],"[3017.24821283 3047.75724023 3048.3284454  ... 3426.90361131 3320.65685825
 3012.99071211]"
TR260784,ART25707984,1323000,22050,"[2651.63920728 2581.53621862 2547.45208879 ... 3052.36150953 2860.17007279
 2922.45419795]","[4963.40332031 4898.80371094 4844.97070312 ... 6567.62695312 6427.66113281
 6513.79394531]",[0.        0.        0.        ... 8.815605  2.9997003 1.1087363],[0.11231606 0.1475713  0.18097785 ... 0.29345903 0.28700837 0.2450341 ],[0.07568359 0.10302734 0.13232422 ... 0.13525391 0.13964844 0.09619141],"[2176.52226556 2175.64639199 2209.83433505 ... 2970.54960476 2818.04118291
 2859.9871118 ]"
TR611877,ART07024718,1323000,22050,"[2124.7778933  2085.60011658 2047.65595204 ... 1699.21381047 1713.97846898
 2995.70078166]","[3488.37890625 3499.14550781 3402.24609375 ... 4059.00878906 4091.30859375
 7149.0234375 ]",[0.        0.        0.        ... 1.535294  0.7662914 0.5902901],[0.17805347 0.23898008 0.27548766 ... 0.46528488 0.47372758 0.43174386],[0.08203125 0.11621094 0.14697266 ... 0.02539062 0.04199219 0.03613281],"[1915.49728359 1873.18889169 1793.66454292 ... 2140.0266221  2283.87772316
 3122.33786642]"
TR731668,ART07024718,1323000,22050,"[1377.98421707 1483.74083597 1710.66220139 ... 2005.52716084 2018.03844135
 1921.23240409]","[2562.45117188 2670.1171875  3477.61230469 ... 3854.44335938 3983.64257812
 3768.31054688]",[0.         0.         0.         ... 0.58199555 0.4834809  0.56664336],[0.25745717 0.31157163 0.36374393 ... 0.15112099 0.14879286 0.12982912],[0.02832031 0.04248047 0.0546875  ... 0.05908203 0.05957031 0.04248047],"[1817.49813393 1937.86906717 2277.68101918 ... 2100.51165644 2123.69991228
 2128.46857241]"
TR895644,ART25707984,1323000,22050,"[2522.81772429 3840.71364845 5033.927841   ... 4176.61496819 3699.15056767
 3014.31553889]","[6115.4296875  8096.484375   8839.37988281 ... 7773.48632812 7138.25683594
 6556.86035156]",[0.         0.         0.         ... 3.3093402  1.0512956  0.98349303],[0.12862857 0.14008437 0.14786907 ... 0.1934533  0.18077882 0.15189096],[0.06542969 0.15527344 0.21582031 ... 0.25       0.21142578 0.13623047],"[2780.76192771 3279.2063548  3269.35920538 ... 2989.94025945 2879.85488682
 2722.80536976]"
TR565958,ART25707984,1323000,22050,"[2012.10828171 2311.21824618 2515.10238803 ... 2449.58123739 2687.71031176
 2587.49786195]","[4705.00488281 5297.16796875 5404.83398438 ... 5146.43554688 5932.39746094
 5932.39746094]",[0.        0.        0.        ... 0.8638576 1.2617047 1.1917961],[0.26438725 0.32533315 0.3646502  ... 0.08376979 0.08839183 0.07662916],[0.02392578 0.03710938 0.05126953 ... 0.12011719 0.12060547 0.09130859],"[2416.38230269 2500.02459256 2441.9426027  ... 2507.65417554 2585.0932706
 2616.94731412]"
TR965133,ART07024718,1323000,22050,"[1039.88640433  996.38895851 1056.82898863 ... 1213.90023211 1024.69764837
  994.83901287]","[1765.72265625 1571.92382812 1658.05664062 ... 2799.31640625 2099.48730469
 1658.05664062]",[0.         0.         0.         ... 4.6233544  1.7976229  0.25785455],[0.23535562 0.2683935  0.28952283 ... 0.3839729  0.43610233 0.39003453],[0.01025391 0.01513672 0.02392578 ... 0.02246094 0.01123047 0.00732422],"[1905.7635369  1813.96514731 1855.26951889 ... 2362.23755265 2139.67818041
 2058.65587001]"
TR955411,ART07024718,1323000,22050,"[2615.20126562 2467.54747017 2241.2521941  ... 1126.59386778 2671.4239538
 3702.71072294]","[6115.4296875  5706.29882812 5351.00097656 ... 2088.72070312 7784.25292969
 8893.21289062]",[0.         0.         0.         ... 0.09586705 0.33491623 0.8807471 ],[0.23927496 0.29656556 0.3344876  ... 0.14506067 0.20914917 0.20678468],[0.05615234 0.07617188 0.09912109 ... 0.02294922 0.03564453 0.03027344],"[2764.46085778 2630.49068445 2485.2321569  ... 1996.83261702 3473.1994582
 3763.17972105]"
TR844036,ART25707984,1323000,22050,"[1103.19900414 1441.39944331 1898.43411896 ... 2865.25849694 2176.87264982
 1918.64243544]","[2024.12109375 3359.1796875  4360.47363281 ... 6535.32714844 4844.97070312
 4306.640625  ]",[0.        0.        0.        ... 1.7020183 8.413914  4.4300747],[0.28320795 0.36677012 0.42202666 ... 0.28212342 0.28485477 0.2542157 ],[0.01367188 0.01953125 0.02392578 ... 0.04199219 0.05712891 0.046875  ],"[2024.6302189  2295.07907035 2584.08262883 ... 2992.07127093 2561.34908841
 2306.69792694]"
TR296960,ART25707984,1323000,22050,"[2017.46290084 1850.11927793 1821.94274053 ... 1869.82948762 1550.1337693
 1840.9953301 ]","[4080.54199219 3456.07910156 3348.41308594 ... 3703.7109375  3154.61425781
 3746.77734375]",[0.         0.         0.         ... 0.19046263 0.6236612  8.380281  ],[0.18633094 0.28066424 0.3526361  ... 0.17953229 0.2503559  0.2500041 ],[0.05859375 0.07910156 0.09814453 ... 0.11816406 0.11474609 0.06835938],"[1998.30594698 1751.44798724 1693.50103792 ... 1990.71758702 1684.07973083
 2019.23029226]"
TR420459,ART25707984,1323000,22050,"[3120.17159432 3246.84403497 3217.95436246 ... 3488.81544526 3087.90203983
 2683.01914221]","[6567.62695312 6729.12597656 6793.72558594 ... 7170.55664062 6589.16015625
 6007.76367188]",[0.        0.        0.        ... 7.2115874 4.1601853 1.1270688],[0.1060786  0.14232688 0.15702266 ... 0.19890691 0.2339083  0.21426374],[0.08837891 0.13183594 0.17041016 ... 0.14306641 0.11328125 0.06152344],"[2745.58089432 2771.91449927 2800.83787054 ... 2815.4497796  2871.19166616
 2845.0853839 ]"
TR572044,ART07024718,1323000,22050,"[2966.89078436 3672.62280677 4179.32227877 ... 4661.94422586 5330.57838413
 5035.61895258]","[7805.78613281 8171.85058594 8484.08203125 ... 9539.20898438 9431.54296875
 9097.77832031]",[0.        0.        0.        ... 1.4089063 3.261611  2.5959482],[0.16878136 0.19942683 0.22590058 ... 0.18576373 0.1666224  0.14141443],[0.08691406 0.14257812 0.18359375 ... 0.18359375 0.23291016 0.19677734],"[3353.06793382 3506.94714066 3590.03050446 ... 3913.22954687 3699.35796179
 3488.07549837]"
TR845385,ART07024718,1323000,22050,"[2977.03954194 2406.92537137 1764.60482716 ... 2479.43615842 1925.92041822
 2136.96244985]","[7547.38769531 7127.49023438 5006.46972656 ... 6309.22851562 4834.20410156
 5878.56445312]",[0.         0.         0.         ... 1.2501595  0.7747771  0.22940342],[0.34286767 0.42567998 0.4891152  ... 0.21945089 0.18930373 0.1334885 ],[0.04345703 0.05566406 0.0625     ... 0.07080078 0.05615234 0.03466797],"[3340.69258334 3209.48749709 2724.00016594 ... 2859.39830816 2580.49269722
 2967.11794133]"
TR297175,ART07024718,1323000,22050,"[2366.0211477  2451.99797982 2044.78526706 ... 1647.46635653 2110.81514508
 2241.70159457]","[6438.42773438 6847.55859375 6287.6953125  ... 3305.34667969 5028.00292969
 5340.234375  ]",[0.         0.         0.         ... 0.22358836 0.283332   1.1743146 ],[0.10892056 0.12715252 0.14661667 ... 0.272604   0.26485372 0.22109926],[0.02734375 0.03857422 0.04589844 ... 0.06396484 0.07373047 0.05664062],"[2722.46562161 2910.14052599 2809.75896941 ... 2058.78908032 2521.59607785
 2576.68401569]"
TR435845,ART25707984,1323000,22050,"[2071.94405148 2015.34646253 1807.00922172 ... 1660.96337264 2749.13440134
 2635.94556069]","[4392.7734375  4500.43945312 4285.10742188 ... 5264.86816406 7482.78808594
 7428.95507812]",[0.        0.        0.        ... 5.1220303 3.9885287 3.1311126],[0.20094989 0.27911007 0.35832235 ... 0.3323679  0.307741   0.24434732],[0.03515625 0.04296875 0.04882812 ... 0.03027344 0.03076172 0.02832031],"[2437.49553856 2482.46819782 2403.18808942 ... 2784.61672378 3470.00649963
 3469.86473521]"
TR136811,ART25707984,1323000,22050,"[4635.35400182 4483.67366907 3247.16911371 ... 3667.3957709  3891.56926993
 4262.70534021]","[9119.31152344 8860.91308594 7310.52246094 ... 7816.55273438 7891.91894531
 8171.85058594]",[0.         0.         0.         ... 1.7028716  0.59219223 0.54205114],[0.1179725  0.14301185 0.16196252 ... 0.19176799 0.16312811 0.12719041],[0.09912109 0.12597656 0.15332031 ... 0.13769531 0.16308594 0.13085938],"[3481.32896999 3406.3303231  3173.8800624  ... 3381.60810326 3370.92996612
 3330.02190297]"
TR811753,ART25707984,1323000,22050,"[1888.19537205 2448.27050831 3055.23910999 ... 2852.4401807  3391.9318466
 2886.32233252]","[5566.33300781 7084.42382812 7590.45410156 ... 5932.39746094 6922.92480469
 6427.66113281]",[0.         0.         0.         ... 1.3670496  0.7879313  0.99799484],[0.3445181  0.3741617  0.3838     ... 0.33636796 0.42100886 0.39310947],[0.03271484 0.04882812 0.06591797 ... 0.14599609 0.11767578 0.08642578],"[2863.55927867 3154.90471873 3216.92488675 ... 2680.24287929 2922.09971184
 2940.18915857]"
TR492188,ART25707984,1323000,22050,"[1337.76448336 1871.87661979 2602.3720275  ... 1331.7043685  2492.25605603
 3286.13205349]","[2659.35058594 3660.64453125 4995.703125   ... 1873.38867188 6492.26074219
 8107.25097656]",[0.        0.        0.        ... 5.8471546 3.0181456 5.0105534],[0.04889128 0.16511886 0.18323861 ... 0.23832594 0.24908133 0.21268839],[0.01318359 0.03466797 0.078125   ... 0.07177734 0.08056641 0.06738281],"[2079.01111308 2122.74789083 2233.04419649 ... 2202.97797229 3071.15058348
 3359.72157152]"
TR481276,ART25707984,1323000,22050,"[3042.03413968 3167.31066402 3171.21825036 ... 4293.46193122 3745.93335087
 3484.20528105]","[7073.65722656 7321.2890625  7310.52246094 ... 8354.8828125  8031.88476562
 7601.22070312]",[0.         0.         0.         ... 0.3165844  0.70317566 4.2170815 ],[0.24593887 0.3038859  0.35201338 ... 0.35203966 0.3517973  0.3028766 ],[0.04541016 0.06640625 0.07714844 ... 0.16064453 0.14941406 0.11083984],"[3182.59503778 3230.41243311 3215.91221614 ... 3406.90935319 3320.80614936
 3210.38217474]"
TR168277,ART25707984,1323000,22050,"[2094.62955888 2154.68896946 2184.02587289 ... 3158.80422638 2845.88344604
 2443.64815435]","[4877.27050781 5124.90234375 5243.33496094 ... 7913.45214844 6933.69140625
 4909.5703125 ]",[0.         0.         0.         ... 0.94743526 1.2226175  0.62343764],[0.00721581 0.00902657 0.01059064 ... 0.14276312 0.1159002  0.09365495],[0.04394531 0.05419922 0.07519531 ... 0.11767578 0.13085938 0.09472656],"[2514.41731076 2583.91103375 2618.53158372 ... 3300.30905348 3088.21215159
 2681.90487945]"
TR845296,ART07024718,1323000,22050,"[2002.14722807 2275.40226296 2994.32768632 ... 2011.66600029 1828.0873567
 1757.58262498]","[4059.00878906 4511.20605469 6255.39550781 ... 4898.80371094 4005.17578125
 3692.94433594]",[0.         0.         0.         ... 2.1931589  1.5376633  0.57118255],[0.15130547 0.16332111 0.1793268  ... 0.46419615 0.4523219  0.3885    ],[0.03369141 0.08544922 0.13720703 ... 0.07568359 0.07373047 0.05517578],"[2097.79026207 2257.45086361 2735.81278015 ... 2596.00932835 2295.70687506
 2194.29603337]"
TR754276,ART25707984,1323000,22050,"[1526.46985524 1586.50462579 1476.05381192 ... 2542.27072517 2225.6692287
 4123.57468677]","[2304.05273438 2400.95214844 2217.91992188 ... 7967.28515625 6847.55859375
 8301.04980469]",[0.         0.         0.         ... 1.0278084  0.69787234 0.02145905],[0.11404006 0.12509283 0.1406971  ... 0.1643714  0.14719431 0.10825323],[0.04248047 0.05664062 0.07177734 ... 0.04931641 0.06103516 0.05273438],"[1972.34275653 2011.02875499 2044.87034865 ... 3414.48764308 3203.17086353
 3496.74666035]"
TR178473,ART25707984,1323000,22050,"[2365.90310068 2833.87503478 2525.67221094 ... 1646.89985366 1941.89218147
 2172.68414064]","[7310.52246094 7590.45410156 6772.19238281 ... 4715.77148438 4995.703125
 5221.80175781]",[0.        0.        0.        ... 3.5867226 0.759277  0.4741966],[0.3785185  0.44121373 0.4849602  ... 0.52547896 0.49893528 0.39374262],[0.01123047 0.02001953 0.03613281 ... 0.04248047 0.04638672 0.04199219],"[3266.89624493 3389.34307867 3037.97107517 ... 2374.6986806  2515.45630131
 2596.08850958]"
TR124631,ART07024718,1323000,22050,"[1473.86885798 1594.69488237 1602.86970759 ... 1718.22040934 1621.31046519
 1762.32264459]","[2885.44921875 3283.81347656 3305.34667969 ... 3628.34472656 3509.91210938
 3649.87792969]",[0.         0.         0.         ... 0.42395964 0.8683398  0.9745523 ],[0.20478044 0.24377961 0.28253925 ... 0.38569367 0.3701338  0.34210086],[0.03662109 0.05566406 0.07226562 ... 0.05615234 0.06494141 0.04101562],"[1966.28597085 2167.00096473 2243.99689748 ... 2163.8398786  2159.85076435
 2201.83666352]"
TR237531,ART07024718,1323000,22050,"[3647.78845565 4110.32820336 3748.01410488 ... 2110.80230337 2164.88559135
 1908.56978454]","[7934.98535156 8085.71777344 7816.55273438 ... 5932.39746094 5630.93261719
 4005.17578125]",[0.         0.         0.         ... 0.7131004  0.46089342 2.313462  ],[0.20159893 0.2448369  0.2667579  ... 0.40351605 0.3701257  0.305331  ],[0.08251953 0.11572266 0.14599609 ... 0.03808594 0.04492188 0.03515625],"[3245.76542145 3142.40938366 3129.34376389 ... 2970.14108687 2840.97694647
 2388.30991587]"
TR607550,ART25707984,1323000,22050,"[3021.12065385 2333.85931511 2259.78023134 ... 2306.92754221 2310.26281624
 2204.68685495]","[8085.71777344 6050.83007812 5598.6328125  ... 5394.06738281 5178.73535156
 4726.53808594]",[0.         0.         0.         ... 0.9170293  0.74903774 0.94337994],[0.3707374  0.4661949  0.5118005  ... 0.32704073 0.31141168 0.26205707],[0.08740234 0.10498047 0.12451172 ... 0.07275391 0.07861328 0.06640625],"[3488.66266667 2962.04571834 2770.75334567 ... 2892.33141818 2843.55694361
 2723.57696223]"
TR333448,ART07024718,1323000,22050,"[ 936.40153793 1027.48634834  943.64051357 ... 1992.03216787 2012.00966949
 1843.13913775]","[1970.28808594 2142.55371094 1410.42480469 ... 4285.10742188 4317.40722656
 4048.2421875 ]",[0.         0.         0.         ... 0.22763392 0.34310186 0.67116034],[0.15395546 0.24634647 0.29627562 ... 0.4315948  0.4299242  0.36862588],[0.01220703 0.02294922 0.03466797 ... 0.05859375 0.05615234 0.04199219],"[1718.51029366 1782.8251948  1632.19800615 ... 2711.99205403 2719.40932534
 2584.70702733]"
TR476850,ART07024718,1323000,22050,"[1863.20099257 1949.91316699 1863.98364173 ... 3095.84392948 2738.76481431
 2448.99076325]","[3025.41503906 3111.54785156 2960.81542969 ... 7375.12207031 6266.16210938
 5221.80175781]",[0.        0.        0.        ... 2.5560255 1.8706859 1.6126807],[0.08285714 0.10514092 0.12295071 ... 0.16192558 0.14387575 0.11126366],[0.05712891 0.08251953 0.15136719 ... 0.13671875 0.12402344 0.10253906],"[1977.49656435 1963.21502503 1896.15459115 ... 3153.21300142 2741.86676539
 2564.64111895]"
TR671007,ART25707984,1323000,22050,"[3665.74744083 3261.24627653 2765.82455492 ... 2878.46738674 2615.78462111
 2589.91885896]","[8193.38378906 7676.58691406 7030.59082031 ... 5383.30078125 5394.06738281
 5910.86425781]",[0.        0.        0.        ... 0.7129905 1.4852723 1.0673178],[0.12353287 0.14597161 0.16120584 ... 0.28991616 0.41474864 0.40221053],[0.06738281 0.08300781 0.10839844 ... 0.17236328 0.14453125 0.09716797],"[3313.37342951 3262.48083011 3066.55885271 ... 2319.0111688  2530.38317759
 2794.51771333]"
TR708528,ART07024718,1323000,22050,"[2058.65963392 1942.47429765 1628.17194602 ... 1563.319121   1999.38319642
 2687.59766382]","[3865.20996094 3854.44335938 3262.28027344 ... 2853.14941406 3994.40917969
 7245.92285156]",[0.         0.         0.         ... 0.79266775 1.1551893  0.5056112 ],[0.0685585  0.13066052 0.15562391 ... 0.17459717 0.14631285 0.10368674],[0.04980469 0.06396484 0.08496094 ... 0.06689453 0.08203125 0.07177734],"[2148.90351457 2393.32492376 2202.02336362 ... 2223.49356163 2620.82689743
 3047.95031365]"
TR547400,ART25707984,1323000,22050,"[2347.70682546 2234.29037303 2167.47752415 ... 2615.01898025 2498.82790769
 2572.97284216]","[4855.73730469 4112.84179688 3994.40917969 ... 5211.03515625 4748.07128906
 4672.70507812]",[0.        0.        0.        ... 2.547565  2.8931315 1.8983167],[0.23436482 0.31798095 0.39946353 ... 0.33752567 0.29995775 0.24363635],[0.08935547 0.11425781 0.13574219 ... 0.14501953 0.17626953 0.13476562],"[2172.45242744 2003.68907468 2205.71114608 ... 2322.41746656 2114.39490885
 2064.6353148 ]"
TR114955,ART25707984,1323000,22050,"[1898.18772376  965.63945181  648.67327822 ... 2465.66404893 2491.46584815
 4555.3426557 ]","[4554.27246094 2024.12109375 1152.02636719 ... 5727.83203125 6093.89648438
 8979.34570312]",[0.        0.        0.        ... 4.182007  2.4178314 1.7849618],[0.24601935 0.34219396 0.40220776 ... 0.24715564 0.19264886 0.12744091],[0.04443359 0.04589844 0.046875   ... 0.08935547 0.2109375  0.19433594],"[2696.8105744  1865.18461496 1495.60968833 ... 2761.0782106  2927.18347149
 3643.97527866]"
TR750485,ART07024718,1323000,22050,"[3276.51530395 3128.17898866 3001.68465335 ... 3218.58617358 2329.35723608
 1748.91662334]","[7159.79003906 7149.0234375  7332.05566406 ... 6599.92675781 4683.47167969
 3122.31445312]","[ 0.          0.          0.         ...  0.0415299   0.29560593
 13.290976  ]",[0.30561414 0.37945372 0.40360558 ... 0.12167332 0.24252047 0.2424833 ],[0.0625     0.08154297 0.10644531 ... 0.12060547 0.12207031 0.09375   ],"[3029.51467468 3084.43946366 3191.17070036 ... 2973.15144886 2607.99709461
 2065.10283515]"
TR393241,ART07024718,1323000,22050,"[2473.10047606 2368.75849899 2199.50918832 ... 2185.76990952 2721.39925656
 3133.45803407]","[7181.32324219 7364.35546875 6718.359375   ... 4877.27050781 5415.60058594
 5684.765625  ]",[0.        0.        0.        ... 2.0662463 1.2780083 1.7790769],[0.06446017 0.07861122 0.0881267  ... 0.18160251 0.16660687 0.14595956],[0.04492188 0.06298828 0.08349609 ... 0.11523438 0.16259766 0.13916016],"[3058.68733202 3058.86640373 2986.7604607  ... 2336.96030856 2399.16287713
 2415.18223763]"
TR842852,ART25707984,1323000,22050,"[1244.74964598 1382.65092904 1318.64738923 ... 1639.70400427 1399.53446118
  993.3799652 ]","[2077.95410156 2347.11914062 2347.11914062 ... 3779.07714844 3079.24804688
 2013.35449219]",[0.         0.         0.         ... 0.6961133  0.32424024 0.8796257 ],[0.1583206  0.19128762 0.22376883 ... 0.15032284 0.15267372 0.12956488],[0.02832031 0.03662109 0.04394531 ... 0.06689453 0.04931641 0.03125   ],"[1932.26759824 2179.17194292 2226.47187925 ... 2339.85694002 2153.55317292
 1674.14380761]"
TR120106,ART25707984,1323000,22050,"[2323.66327198 2580.36033333 2820.06098414 ... 4061.58347945 4465.73334989
 4841.94485871]","[5695.53222656 6427.66113281 6686.05957031 ... 7881.15234375 8031.88476562
 8473.31542969]",[0.        0.        0.        ... 0.6084621 2.252946  1.4959494],[0.31026822 0.3814798  0.41778085 ... 0.24392399 0.23182806 0.19075052],[0.02832031 0.05322266 0.08935547 ... 0.23291016 0.3125     0.26904297],"[2681.69539458 2737.61680816 2833.36764786 ... 3292.4832329  3295.37092378
 3320.0974581 ]"
TR912864,ART07024718,1323000,22050,"[2163.8892303  1835.45936245 1463.10136242 ... 2615.89552473 2779.33955401
 2108.59297976]","[6287.6953125  5824.73144531 4037.47558594 ... 6847.55859375 7245.92285156
 6804.4921875 ]",[0.        0.        0.        ... 1.0704209 1.8920931 2.5653894],[0.1843078  0.26861122 0.30719754 ... 0.13471009 0.13253395 0.11141811],[0.01660156 0.01806641 0.02050781 ... 0.03271484 0.02832031 0.02148438],"[2911.37571412 2798.58913546 2547.78751006 ... 3124.03405327 3321.84867742
 3166.20696604]"
TR167740,ART25707984,1323000,22050,"[3340.60471124 3514.32376917 3358.86093705 ... 2771.2004392  3176.27376517
 2939.83253838]","[7353.58886719 7558.15429688 7633.52050781 ... 7138.25683594 7515.08789062
 7256.68945312]",[0.         0.         0.         ... 3.1183367  2.0030339  0.92127156],[0.14377673 0.17106219 0.19640806 ... 0.35754177 0.34851658 0.29479775],[0.05664062 0.07470703 0.08935547 ... 0.10400391 0.09814453 0.07568359],"[3251.08483012 3247.45370603 3298.37347757 ... 3026.68670371 3173.14647861
 3102.75259943]"
TR930775,ART07024718,1323000,22050,"[1514.40501426 1562.89749092 1864.6432977  ... 1165.02950835 1033.99096128
 1003.85092536]","[2745.48339844 2551.68457031 3682.17773438 ... 2594.75097656 2314.81933594
 2304.05273438]",[0.        0.        0.        ... 2.0386975 4.082001  1.4145737],[0.16704698 0.21220046 0.23493434 ... 0.46810496 0.46842515 0.39799234],[0.03613281 0.06054688 0.08398438 ... 0.01757812 0.01953125 0.01464844],"[2020.06261511 1978.89492475 2273.50641096 ... 2048.3667985  1888.48298896
 1915.00926299]"
TR691943,ART07024718,1323000,22050,"[1435.03266727 1290.9740737  1197.7148532  ...  990.3108908   994.81133836
 1173.48506313]","[2993.11523438 2465.55175781 2217.91992188 ... 1765.72265625 1787.25585938
 2336.35253906]",[0.         0.         0.         ... 0.18800466 0.38743192 0.2942968 ],[0.05344696 0.06862942 0.08113547 ... 0.1941062  0.19819574 0.16970523],[0.01708984 0.02783203 0.03710938 ... 0.03417969 0.03466797 0.02539062],"[2047.01700142 1846.28817059 1712.31735317 ... 1656.83422136 1707.17157033
 1908.61396126]"
TR588523,ART25707984,1323000,22050,"[3804.44803638 3774.31661671 3794.66679621 ... 3811.02576467 3764.18533884
 2976.42884151]","[7730.41992188 7622.75390625 7687.35351562 ... 7622.75390625 7396.65527344
 6470.72753906]",[0.         0.         0.         ... 0.49941957 5.20756    2.608188  ],[0.08469549 0.09863719 0.10093199 ... 0.24242465 0.24184108 0.20024101],[0.13183594 0.17919922 0.22460938 ... 0.14355469 0.15332031 0.1171875 ],"[3037.90276566 2995.14121095 3057.48972804 ... 3066.93817616 2970.23873123
 2805.78558654]"
TR978886,ART07024718,1323000,22050,"[4316.5240392  4741.43512188 4885.89163615 ... 2865.52336984 2915.72103671
 2899.79373052]","[8171.85058594 8408.71582031 8484.08203125 ... 6492.26074219 6599.92675781
 6869.09179688]",[0.         0.         0.         ... 0.61159194 1.3953502  0.8807647 ],[0.0886575  0.11766445 0.15606172 ... 0.2702052  0.2722622  0.23893262],[0.19091797 0.27050781 0.32519531 ... 0.09472656 0.08984375 0.06494141],"[3042.83725539 2969.86979958 3001.10329927 ... 2899.92173784 2957.23145211
 3041.52770836]"
TR537942,ART25707984,1323000,22050,"[1731.45774503 1768.89503162 2468.75548726 ... 3251.8627139  3242.2729443
 3174.55468081]","[3402.24609375 3628.34472656 5512.5        ... 6686.05957031 6664.52636719
 6546.09375   ]",[0.         0.         0.         ... 0.30450815 0.42343235 0.43794894],[0.07186182 0.13956107 0.20866291 ... 0.2909905  0.28638098 0.2523278 ],[0.05078125 0.07373047 0.10791016 ... 0.20507812 0.19384766 0.14550781],"[1899.28641553 1984.29869895 2519.03837935 ... 2756.35689997 2756.81230192
 2720.25406909]"
TR709016,ART25707984,1323000,22050,"[1179.23496619  797.33207012  528.1121017  ... 1165.11403096 1018.91666121
  905.27486736]","[2530.15136719 1184.32617188  387.59765625 ... 1841.08886719 1647.29003906
 1302.75878906]",[0.        0.        0.        ... 1.448085  1.0675843 1.100442 ],[0.04743556 0.05635845 0.0627724  ... 0.29052743 0.26929647 0.21714343],[0.00683594 0.01074219 0.01416016 ... 0.03320312 0.03076172 0.02001953],"[2076.48897331 1718.66394353 1337.43226437 ... 2041.95595656 1890.28034555
 1816.04928998]"
TR690143,ART25707984,1323000,22050,"[2997.32436237 3507.32495095 3773.61821193 ... 2481.33210963 2484.16271869
 2616.61434738]","[7547.38769531 8042.65136719 8279.51660156 ... 5986.23046875 6244.62890625
 6513.79394531]",[0.        0.        0.        ... 1.7267357 1.8357768 1.1827178],[0.21757698 0.26587594 0.30211365 ... 0.23197618 0.1984252  0.15270355],[0.01953125 0.02734375 0.03662109 ... 0.06054688 0.08398438 0.06835938],"[3310.64089751 3432.02723487 3455.68599765 ... 2825.49231626 2917.8281433
 2947.09895324]"
TR588490,ART25707984,1323000,22050,"[ 836.81450248  766.37811973 3402.90444859 ... 2306.69859207 2355.62657136
 2345.67107137]","[1528.85742188 1238.15917969 7547.38769531 ... 4866.50390625 4931.10351562
 4984.93652344]",[0.        0.        0.        ... 1.4449195 1.9989882 1.3786784],[0.06006963 0.07108272 0.21069635 ... 0.2965329  0.3036782  0.2593461 ],[0.00195312 0.01806641 0.07568359 ... 0.06689453 0.07226562 0.05859375],"[1820.34147747 1763.92701253 3039.90569854 ... 2484.1709717  2497.05551423
 2517.77548365]"
TR413349,ART07024718,1323000,22050,"[2593.98922478 2782.9429957  2903.6517195  ... 3208.2478119  3338.10999609
 3081.3575403 ]","[5706.29882812 6233.86230469 6416.89453125 ... 7558.15429688 7848.85253906
 7138.25683594]",[0.        0.        0.        ... 3.814433  3.8235419 1.5003076],[0.12843832 0.14752375 0.16620052 ... 0.26773512 0.28461012 0.25880218],[0.06298828 0.10009766 0.13037109 ... 0.15136719 0.13623047 0.10302734],"[2715.22432058 2823.00739656 2839.74360397 ... 3104.85424424 3209.43981071
 2990.88319049]"
TR485842,ART07024718,1323000,22050,"[3599.65654495 4059.0378149  4520.2854932  ... 2537.69138394 2433.58294293
 2878.74937936]","[7622.75390625 8225.68359375 8559.44824219 ... 5447.90039062 5404.83398438
 6276.92871094]",[0.        0.        0.        ... 1.1515645 3.034966  1.0502675],[0.16626956 0.18658274 0.19944924 ... 0.22901271 0.23412994 0.19425423],[0.07666016 0.15820312 0.26855469 ... 0.12792969 0.11230469 0.078125  ],"[3184.68658845 3265.97608    3184.296421   ... 2713.67246518 2660.87335153
 2805.13045341]"
