avg_token_per_clause,duration_ms,popularity,album_release_year,latitude,swear_ratio,syntactic_complexity,flow_complexity,multilingual_index,percussiveness,harmonic_richness,trap_index,boombap_index,cloud_rap_index,drill_index,career_longevity
8.133928571428571,207761.0,46,2021.0,45.068046,0.020856201975850714,2185.667694344009,12.94959705882353,1,749.8675734271379,10685.779647833015,85.67102660000005,9.3843,0.018499649999999992,909296.7891501687,10.0
12.5,207761.0,46,2021.0,45.068046,0.03111111111111111,1875.1493888637392,16.312098214285715,1,923.5582601193001,17961.47039280459,14.442058680000004,8.36607,0.043046948999999994,91167.17258092406,10.0
8.422222222222222,193544.0,39,2021.0,45.068046,0.036939313984168866,1720.1511112851085,11.905768181818182,1,718.697137117168,14462.555735465186,231.93328840000004,9.005880000000001,0.02658689999999999,531181.988847508,10.0
6.701754385964913,169000.0,47,2025.0,45.068046,0.028795811518324606,821.3280819781688,16.00167027027027,0,353.256499228149,5273.616922740146,265.97882223000005,12.81006,0.009007379999999999,1058941.0366910403,10.0
8.411764705882353,194779.0,41,2020.0,45.068046,0.002331002331002331,827.0279510204081,9.7293625,1,436.72378595822795,8243.404891996523,76.81856446650002,6.090210000000002,0.030088254000000002,436917.00581393787,10.0
6.45,200329.0,29,2020.0,45.068046,0.00516795865633075,814.835785123967,6.701966129032259,0,290.412297359748,4735.138078188631,94.401898767,33.941900000000004,0.022680428999999995,702872.1961426251,10.0
12.142857142857142,171230.0,23,2020.0,45.068046,0.010294117647058823,1137.8513069401624,10.093853658536586,0,572.793905900608,8907.64163884672,81.61562614800002,8.11185,0.024242399999999997,562669.8063813647,10.0
10.265625,168513.0,24,2020.0,45.068046,0.030441400304414,1417.7862975778546,10.927031707317072,1,819.0357322042559,14096.728186073324,58.88018841600002,6.147390000000001,0.023239482,400202.7385075225,10.0
11.0188679245283,178080.0,50,2023.0,45.068046,0.003424657534246575,1235.714660505913,8.64391219512195,0,767.2171282928499,12318.142482533029,53.96860424250002,4.80567,0.02799554699999999,327369.385880644,10.0
9.34920634920635,188534.0,27,2020.0,45.068046,0.015280135823429542,1257.9597439720933,12.85198,0,390.86160314798997,5333.853258785041,236.65555698000006,8.04156,0.021038694000000004,520465.8533093257,10.0
8.254237288135593,160645.0,40,2022.0,45.068046,0.024640657084188913,928.9202678405356,10.765405555555558,0,354.55778376790795,7652.096744764442,90.88193180100001,9.157440000000001,0.021607179,817204.1554243393,10.0
13.805555555555555,136737.0,25,2020.0,45.068046,0.018108651911468814,1087.078444873167,12.205735294117643,0,748.31064402,14161.92145719788,45.465920736,6.95253,0.03930942600000001,254441.0889555244,10.0
8.3,210369.0,21,2020.0,45.068046,0.11144578313253012,728.7372102529941,8.212631578947368,0,681.5870612208,14500.770200092275,86.75035143299999,9.04311,0.021553308,736160.1455691338,10.0
